AimagName_mng,SoumName_mng,BagName_mng,BagN,PlotName_mng,AimagName,SoumName,Bagname,PlotName,Longitude,Latitude,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
????-?????,?????,???????,1,??????????? ??????/??? ?????,Govi-Altai,Sharga,Bayangol,Hashaalaagui talbai/Huh hoshuu,95.27372222,46.28230556,0.5,1.2,0.9,4.8,4.4,4.4,2.7,3.4,3.1,2,0.1,0.6,0.8,1.2
????-?????,?????,????????,3,?????? ????,Govi-Altai,Sharga,Sonduult,Bunhan denj,95.59463889,46.71091667,0.3,1.8,0.9,2.6,2,2,0.3,0.6,3.4,1.6,0.1,0.8,0.8,0.8
????-?????,?????,????????,4,???????? ????,Govi-Altai,Sharga,Ulaan tug,Hairhanii suga,95.68383333,46.54455556,0.1,0.8,0.01,3,3.5,3.5,1,2.9,1.7,1.1,0.1,0.4,0.7,0.8
????-?????,?????,?????????,2,??????,Govi-Altai,Sharga,Hamtiin huch,Baaran,95.003,46.51386111,0.5,1,0.01,0.8,1.2,1.2,5.9,1.2,1.5,3.5,0.1,0.8,1,0.9
????-?????,??????,??????,4,??????????? ??????/???????????,Govi-Altai,Erdene,Ulziit,Hashaalaagui talbai/Halzanbulag,97.61725,45.15355556,0.01,3,0.2,1,1.4,1.4,5.1,1.2,1.2,2,0.8,0.3,1.5,0.5
????-?????,??????,????????????,1,??????? ??,Govi-Altai,Erdene,Sangiin dalai,Gyalainii eh,97.79761111,44.95472222,0.01,0.8,0.5,1.4,1.4,1.4,5.6,1.4,1.1,2.3,0.8,0.9,1.3,0.2
????-?????,??????,??????-???,3,????? ??????,Govi-Altai,Erdene,Tsagaan-Uul,Undur tolgoi,97.89183333,44.96091667,0.6,1.8,0.5,1.4,1.5,1.5,5.3,2.2,1.2,2,0.6,0.4,1.9,0.2
????-?????,??????,?????????,2,????????? ???,Govi-Altai,Erdene,Tsetseg nuur,Shireegiin del,97.49775,45.09713889,,0.9,1.05,1.9,,4.3,0.3,,1.2,2.2,0.6,0.2,1.8,0.6
??????????,???????,,2,?????????,Govisumber,Bayantal,,Davaintal,108.2926667,46.73427778,,,,,,,2,6.2,4.7,1.8,2.5,1.7,5.1,4.1
??????????,???????,,1,???????,Govisumber,Bayantal,,Bayantal,108.3085167,46.5987,,,,,,,0.6,5.3,2.3,1.7,1.8,2,0.8,2.4
